,County,White Applicants,White Admits,White Admit Rate,Black Applicants,Black Admits,Black Admit Rate,Native American Applicants,Native American Admits,Native American Admit Rate,Hispanic/Latino Applicants,Hispanic/Latino Admits,Hispanic/Latino Admit Rate,Asian Applicants,Asian Admits,Asian Admit Rate,Other Applicants,Other Admits,Other Admit Rate
0,Alameda,1166.0,809.0,69.38,449.0,218.0,48.55,0.0,0.0,,1020.0,583.0,57.16,2790.0,2135.0,76.52,66.0,54.0,81.82
1,Alpine,,,,,,,,,,,,,,,,,,
2,Amador,15.0,10.0,66.67,0.0,0.0,,0.0,0.0,,0.0,4.0,inf,0.0,3.0,inf,0.0,0.0,
3,Butte,103.0,56.0,54.37,0.0,0.0,,0.0,0.0,,24.0,13.0,54.17,30.0,21.0,70.0,0.0,0.0,
4,Calaveras,23.0,17.0,73.91,0.0,0.0,,0.0,0.0,,7.0,7.0,100.0,0.0,0.0,,0.0,0.0,
5,Colusa,5.0,3.0,60.0,0.0,0.0,,0.0,0.0,,21.0,14.0,66.67,0.0,0.0,,0.0,0.0,
6,Contra Costa,1203.0,763.0,63.42,209.0,105.0,50.24,0.0,0.0,,693.0,412.0,59.45,1251.0,912.0,72.9,32.0,52.0,162.5
7,Del Norte,7.0,6.0,85.71,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
8,El Dorado,217.0,126.0,58.06,7.0,3.0,42.86,0.0,3.0,inf,46.0,28.0,60.87,76.0,57.0,75.0,0.0,5.0,inf
9,Fresno,291.0,202.0,69.42,79.0,43.0,54.43,0.0,0.0,,783.0,463.0,59.13,437.0,309.0,70.71,7.0,3.0,42.86
10,Glenn,0.0,3.0,inf,0.0,0.0,,0.0,0.0,,10.0,8.0,80.0,0.0,0.0,,0.0,0.0,
11,Humboldt,91.0,67.0,73.63,0.0,0.0,,0.0,0.0,,0.0,6.0,inf,0.0,7.0,inf,0.0,0.0,
12,Imperial,6.0,8.0,133.33,0.0,0.0,,0.0,0.0,,252.0,192.0,76.19,5.0,7.0,140.0,0.0,0.0,
13,Inyo,10.0,6.0,60.0,0.0,0.0,,0.0,0.0,,9.0,3.0,33.33,0.0,0.0,,0.0,0.0,
14,Kern,200.0,115.0,57.5,42.0,22.0,52.38,0.0,0.0,,763.0,481.0,63.04,159.0,136.0,85.53,0.0,0.0,
15,Kings,17.0,12.0,70.59,0.0,0.0,,0.0,0.0,,79.0,44.0,55.7,28.0,19.0,67.86,0.0,0.0,
16,Lake,30.0,16.0,53.33,0.0,0.0,,0.0,0.0,,11.0,0.0,0.0,0.0,0.0,,0.0,0.0,
17,Lassen,6.0,4.0,66.67,0.0,0.0,,0.0,0.0,,0.0,3.0,inf,0.0,0.0,,0.0,0.0,
18,Los Angeles,5033.0,3265.0,64.87,1940.0,862.0,44.43,0.0,3.0,inf,15514.0,7573.0,48.81,7637.0,5541.0,72.55,263.0,171.0,65.02
19,Madera,43.0,23.0,53.49,0.0,3.0,inf,0.0,0.0,,131.0,86.0,65.65,20.0,16.0,80.0,5.0,0.0,0.0
20,Marin,590.0,362.0,61.36,15.0,8.0,53.33,0.0,0.0,,123.0,55.0,44.72,135.0,87.0,64.44,14.0,5.0,35.71
21,Mariposa,13.0,12.0,92.31,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
22,Mendocino,47.0,25.0,53.19,0.0,0.0,,0.0,0.0,,22.0,15.0,68.18,6.0,4.0,66.67,0.0,0.0,
23,Merced,61.0,49.0,80.33,12.0,11.0,91.67,0.0,0.0,,400.0,278.0,69.5,109.0,97.0,88.99,0.0,0.0,
24,Modoc,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
25,Mono,6.0,3.0,50.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
26,Monterey,192.0,118.0,61.46,21.0,11.0,52.38,0.0,0.0,,504.0,208.0,41.27,150.0,94.0,62.67,0.0,0.0,
27,Napa,164.0,105.0,64.02,9.0,6.0,66.67,0.0,0.0,,113.0,48.0,42.48,56.0,39.0,69.64,0.0,0.0,
28,Nevada,73.0,55.0,75.34,0.0,0.0,,0.0,0.0,,11.0,7.0,63.64,0.0,3.0,inf,0.0,0.0,
29,Orange,2880.0,1667.0,57.88,172.0,114.0,66.28,0.0,9.0,inf,3212.0,1644.0,51.18,4314.0,3190.0,73.95,79.0,76.0,96.2
30,Placer,470.0,282.0,60.0,36.0,19.0,52.78,5.0,5.0,100.0,134.0,73.0,54.48,223.0,156.0,69.96,10.0,4.0,40.0
31,Plumas,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
32,Riverside,1071.0,717.0,66.95,513.0,271.0,52.83,5.0,6.0,120.0,3568.0,2057.0,57.65,907.0,683.0,75.3,41.0,26.0,63.41
33,Sacramento,807.0,490.0,60.72,315.0,176.0,55.87,0.0,3.0,inf,605.0,359.0,59.34,1166.0,826.0,70.84,29.0,25.0,86.21
34,San Benito,18.0,10.0,55.56,0.0,0.0,,0.0,0.0,,54.0,30.0,55.56,8.0,7.0,87.5,0.0,0.0,
