,County,Total Population,Civilian Population 16 to 19 Years:,Total Population: White Alone,Percent_White,White Applicants,White Admits,White Admit Rate,Total Population: Black or African American Alone,Percent_Black,Black Applicants,Black Admits,Black Admit Rate,Total Population: American Indian and Alaska Native Alone,Percent_Native_American,Native American Applicants,Native American Admits,Native American Admit Rate,Total Population: Asian Alone,Percent_Asian,Asian Applicants,Asian Admits,Asian Admit Rate,Total Population: Hispanic or Latino,Percent_Latino,Hispanic/Latino Applicants,Hispanic/Latino Admits,Latino_Admit_Rate,Total Population: Some Other Race Alone,Percent_Other,Other Applicants,Other Admits,Other Admit Rate,Total Population: Native Hawaiian and Other Pacific Islander Alone,Percent_Pacific_Islander,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate or More (Includes Equivalency),% Population 25 Years and Over: Some College or More,% Population 25 Years and Over: Bachelor's Degree or More,% Population 25 Years and Over: Master's Degree or More,% Population 25 Years and Over: Professional School Degree or More,% Population 25 Years and Over: Doctorate Degree,Median_Household_Income,Child_Poverty_Rate,App_GPA(avg)
0,Alameda,1629615,76292,694720,42.63,1166.0,809.0,69.38,180446,11.07,449.0,218.0,48.55,10152,0.62,0.0,0.0,,471335,28.92,2790.0,2135.0,76.52,367041,22.52,1020.0,583.0,57.16,155248,9.53,66.0,54.0,81.82,13652,0.84,12.46,87.54,69.65,44.71,18.98,5.86,2.87,85743,13.02,3.735009025892949
1,Alpine,1203,109,826,68.66,,,,18,1.5,,,,263,21.86,,,,8,0.67,,,,117,9.73,,,,0,0.0,,,,8,0.67,10.23,89.77,55.61,25.65,10.73,3.7,2.47,63438,17.28,
2,Amador,37306,1633,32453,86.99,15.0,10.0,66.67,796,2.13,0.0,0.0,,295,0.79,0.0,0.0,,582,1.56,0.0,3.0,inf,4943,13.25,0.0,4.0,inf,1366,3.66,0.0,0.0,,84,0.23,10.29,89.71,62.66,22.1,7.3,3.02,1.0,60636,20.26,3.9509805242272353
3,Butte,225207,13094,185221,82.24,103.0,56.0,54.37,3372,1.5,0.0,0.0,,2633,1.17,0.0,0.0,,10174,4.52,30.0,21.0,70.0,35445,15.74,24.0,13.0,54.17,9646,4.28,0.0,0.0,,424,0.19,11.25,88.75,66.12,26.62,8.93,3.22,0.99,46516,21.49,3.8482262487209087
4,Calaveras,45057,1922,41356,91.79,23.0,17.0,73.91,261,0.58,0.0,0.0,,497,1.1,0.0,0.0,,527,1.17,0.0,0.0,,5166,11.47,7.0,7.0,100.0,472,1.05,0.0,0.0,,208,0.46,9.99,90.01,62.42,19.28,6.71,1.73,0.61,54800,18.91,3.805643283292407
5,Colusa,21479,1262,18964,88.29,5.0,3.0,60.0,198,0.92,0.0,0.0,,247,1.15,0.0,0.0,,328,1.53,0.0,0.0,,12539,58.38,21.0,14.0,66.67,1169,5.44,0.0,0.0,,16,0.07,30.57,69.43,46.24,15.72,4.44,1.94,0.27,56481,20.7,3.831222222222223
6,Contra Costa,1123678,57007,658569,58.61,1203.0,763.0,63.42,96345,8.57,209.0,105.0,50.24,5410,0.48,0.0,0.0,,180072,16.03,1251.0,912.0,72.9,284003,25.27,693.0,412.0,59.45,102876,9.16,32.0,52.0,162.5,5542,0.49,10.91,89.09,71.2,40.74,14.86,4.83,1.91,88456,12.43,3.7356991798880763
7,Del Norte,27442,1133,21073,76.79,7.0,6.0,85.71,493,1.8,0.0,0.0,,2158,7.86,0.0,0.0,,776,2.83,0.0,0.0,,5281,19.24,0.0,0.0,,909,3.31,0.0,0.0,,21,0.08,18.44,81.56,49.49,14.44,5.71,2.28,0.75,41287,31.19,3.87916666666667
8,El Dorado,185015,9246,161881,87.5,217.0,126.0,58.06,1789,0.97,7.0,3.0,42.86,1347,0.73,0.0,3.0,inf,7864,4.25,76.0,57.0,75.0,23279,12.58,46.0,28.0,60.87,5026,2.72,0.0,5.0,inf,333,0.18,7.1,92.9,71.44,33.33,11.98,3.99,1.42,74885,11.59,3.641071995464853
9,Fresno,971616,56709,617322,63.54,291.0,202.0,69.42,47715,4.91,79.0,43.0,54.43,9784,1.01,0.0,0.0,,97966,10.08,437.0,309.0,70.71,509442,52.43,783.0,463.0,59.13,158359,16.3,7.0,3.0,42.86,1947,0.2,25.33,74.67,51.83,20.12,6.8,2.52,0.86,48730,36.48,3.731559058886964
10,Glenn,27935,1644,23191,83.02,0.0,3.0,inf,220,0.79,0.0,0.0,,541,1.94,0.0,0.0,,729,2.61,0.0,0.0,,11407,40.83,10.0,8.0,80.0,2542,9.1,0.0,0.0,,113,0.4,27.49,72.51,45.22,12.99,2.84,1.22,0.38,46260,25.47,3.7533333333333294
11,Humboldt,135490,7645,109346,80.7,91.0,67.0,73.63,1609,1.19,0.0,0.0,,7042,5.2,0.0,0.0,,3926,2.9,0.0,7.0,inf,14986,11.06,0.0,6.0,inf,5318,3.93,0.0,0.0,,418,0.31,9.45,90.55,66.51,29.43,10.09,3.7,1.38,43718,22.46,3.938208626355175
12,Imperial,179957,10659,117188,65.12,6.0,8.0,133.33,4785,2.66,0.0,0.0,,1979,1.1,0.0,0.0,,2584,1.44,5.0,7.0,140.0,150108,83.41,252.0,192.0,76.19,44841,24.92,0.0,0.0,,261,0.15,31.59,68.41,44.88,14.28,4.43,0.86,0.17,44779,30.97,3.7953027544833766
13,Inyo,18195,814,14685,80.71,10.0,6.0,60.0,174,0.96,0.0,0.0,,2093,11.5,0.0,0.0,,272,1.49,0.0,0.0,,3894,21.4,9.0,3.0,33.33,409,2.25,0.0,0.0,,34,0.19,11.35,88.65,58.31,25.28,9.38,2.46,1.25,51500,13.35,3.732380952380951
14,Kern,878744,52584,660196,75.13,200.0,115.0,57.5,48078,5.47,42.0,22.0,52.38,9739,1.11,0.0,0.0,,41263,4.7,159.0,136.0,85.53,458907,52.22,763.0,481.0,63.04,88403,10.06,0.0,0.0,,1620,0.18,26.19,73.81,46.13,15.79,5.24,1.57,0.62,50826,31.33,3.70817271567429
15,Kings,150183,8434,99117,66.0,17.0,12.0,70.59,9597,6.39,0.0,0.0,,2259,1.5,0.0,0.0,,5694,3.79,28.0,19.0,67.86,80715,53.74,79.0,44.0,55.7,26842,17.87,0.0,0.0,,367,0.24,27.08,72.92,47.38,13.05,3.78,1.38,0.27,49742,28.74,3.7809833369245127
16,Lake,64095,2960,49841,77.76,30.0,16.0,53.33,1493,2.33,0.0,0.0,,2201,3.43,0.0,0.0,,953,1.49,0.0,0.0,,12445,19.42,11.0,0.0,0.0,7951,12.41,0.0,0.0,,33,0.05,15.29,84.71,54.44,15.34,5.45,1.83,0.59,40446,31.62,3.7604895382395385
17,Lassen,31470,1179,25615,81.39,6.0,4.0,66.67,2748,8.73,0.0,0.0,,968,3.08,0.0,0.0,,463,1.47,0.0,0.0,,5829,18.52,0.0,3.0,inf,865,2.75,0.0,0.0,,219,0.7,17.66,82.34,49.94,12.4,4.55,1.64,0.54,54083,20.72,
18,Los Angeles,10105722,543922,5232835,51.78,5033.0,3265.0,64.87,828981,8.2,1940.0,862.0,44.43,68211,0.67,0.0,3.0,inf,1460508,14.45,7637.0,5541.0,72.55,4893579,48.42,15514.0,7573.0,48.81,2101084,20.79,263.0,171.0,65.02,27691,0.27,21.84,78.16,57.44,31.23,10.88,3.63,1.3,61015,24.02,3.6094667074221367
