,County,Total Population,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,Total Population: Hispanic or Latino,% Total Population: Hispanic or Latino,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate or More (Includes Equivalency),% Population 25 Years and Over: Some College or More,% Population 25 Years and Over: Bachelor's Degree or More,% Population 25 Years and Over: Master's Degree or More,% Population 25 Years and Over: Professional School Degree or More,% Population 25 Years and Over: Doctorate Degree,Civilian Population 16 to 19 Years:,Median Household Income (In 2017 Inflation Adjusted Dollars),% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty
1,Alameda,1629615,694720,180446,10152,471335,13652,155248,42.63,11.07,0.62,28.92,0.84,9.53,367041,22.52,12.46,87.54,69.65,44.71,18.98,5.86,2.87,76292,85743,13.02
2,Alpine,1203,826,18,263,8,8,0,68.66,1.5,21.86,0.67,0.67,0,117,9.73,10.23,89.77,55.61,25.65,10.73,3.7,2.47,109,63438,17.28
3,Amador,37306,32453,796,295,582,84,1366,86.99,2.13,0.79,1.56,0.23,3.66,4943,13.25,10.29,89.71,62.66,22.1,7.3,3.02,1,1633,60636,20.26
4,Butte,225207,185221,3372,2633,10174,424,9646,82.24,1.5,1.17,4.52,0.19,4.28,35445,15.74,11.25,88.75,66.12,26.62,8.93,3.22,0.99,13094,46516,21.49
5,Calaveras,45057,41356,261,497,527,208,472,91.79,0.58,1.1,1.17,0.46,1.05,5166,11.47,9.99,90.01,62.42,19.28,6.71,1.73,0.61,1922,54800,18.91
6,Colusa,21479,18964,198,247,328,16,1169,88.29,0.92,1.15,1.53,0.07,5.44,12539,58.38,30.57,69.43,46.24,15.72,4.44,1.94,0.27,1262,56481,20.7
7,Contra Costa,1123678,658569,96345,5410,180072,5542,102876,58.61,8.57,0.48,16.03,0.49,9.16,284003,25.27,10.91,89.09,71.2,40.74,14.86,4.83,1.91,57007,88456,12.43
8,Del Norte,27442,21073,493,2158,776,21,909,76.79,1.8,7.86,2.83,0.08,3.31,5281,19.24,18.44,81.56,49.49,14.44,5.71,2.28,0.75,1133,41287,31.19
9,El Dorado,185015,161881,1789,1347,7864,333,5026,87.5,0.97,0.73,4.25,0.18,2.72,23279,12.58,7.1,92.9,71.44,33.33,11.98,3.99,1.42,9246,74885,11.59
10,Fresno,971616,617322,47715,9784,97966,1947,158359,63.54,4.91,1.01,10.08,0.2,16.3,509442,52.43,25.33,74.67,51.83,20.12,6.8,2.52,0.86,56709,48730,36.48
11,Glenn,27935,23191,220,541,729,113,2542,83.02,0.79,1.94,2.61,0.4,9.1,11407,40.83,27.49,72.51,45.22,12.99,2.84,1.22,0.38,1644,46260,25.47
12,Humboldt,135490,109346,1609,7042,3926,418,5318,80.7,1.19,5.2,2.9,0.31,3.93,14986,11.06,9.45,90.55,66.51,29.43,10.09,3.7,1.38,7645,43718,22.46
13,Imperial,179957,117188,4785,1979,2584,261,44841,65.12,2.66,1.1,1.44,0.15,24.92,150108,83.41,31.59,68.41,44.88,14.28,4.43,0.86,0.17,10659,44779,30.97
14,Inyo,18195,14685,174,2093,272,34,409,80.71,0.96,11.5,1.49,0.19,2.25,3894,21.4,11.35,88.65,58.31,25.28,9.38,2.46,1.25,814,51500,13.35
15,Kern,878744,660196,48078,9739,41263,1620,88403,75.13,5.47,1.11,4.7,0.18,10.06,458907,52.22,26.19,73.81,46.13,15.79,5.24,1.57,0.62,52584,50826,31.33
16,Kings,150183,99117,9597,2259,5694,367,26842,66,6.39,1.5,3.79,0.24,17.87,80715,53.74,27.08,72.92,47.38,13.05,3.78,1.38,0.27,8434,49742,28.74
17,Lake,64095,49841,1493,2201,953,33,7951,77.76,2.33,3.43,1.49,0.05,12.41,12445,19.42,15.29,84.71,54.44,15.34,5.45,1.83,0.59,2960,40446,31.62
18,Lassen,31470,25615,2748,968,463,219,865,81.39,8.73,3.08,1.47,0.7,2.75,5829,18.52,17.66,82.34,49.94,12.4,4.55,1.64,0.54,1179,54083,20.72
19,Los Angeles,10105722,5232835,828981,68211,1460508,27691,2101084,51.78,8.2,0.67,14.45,0.27,20.79,4893579,48.42,21.84,78.16,57.44,31.23,10.88,3.63,1.3,543922,61015,24.02
20,Madera,154440,118390,4938,2556,3303,224,20081,76.66,3.2,1.66,2.14,0.15,13,87852,56.88,28.39,71.61,46.82,13.84,4.53,1.58,0.63,9449,48210,31.5
21,Marin,260814,203898,5759,689,14912,492,22779,78.18,2.21,0.26,5.72,0.19,8.73,41391,15.87,6.75,93.25,82.02,57.51,25.05,9.67,3.08,10406,104703,9.67
22,Mariposa,17658,15715,215,467,168,56,309,89,1.22,2.64,0.95,0.32,1.75,1870,10.59,9.89,90.11,61.91,24.42,9.65,2.82,0.97,632,51385,17.5
23,Mendocino,87497,72378,620,3703,1509,186,4644,82.72,0.71,4.23,1.72,0.21,5.31,21402,24.46,13.1,86.9,60.67,24.78,8.38,3.13,1.22,4419,46528,24.43
24,Merced,267390,153649,8621,1826,20224,456,70466,57.46,3.22,0.68,7.56,0.17,26.35,155650,58.21,31.11,68.89,43.79,13.76,4.81,1.58,0.72,18658,46338,33.36
25,Modoc,9017,8244,65,368,105,8,31,91.43,0.72,4.08,1.16,0.09,0.34,1317,14.61,14.49,85.51,55.05,16.58,4.04,0.73,0,435,39296,20.42
26,Mono,14058,11987,74,374,280,0,940,85.27,0.53,2.66,1.99,0,6.69,3815,27.14,15.27,84.73,65.8,31.54,8.33,1.99,0.3,491,60595,11.95
